# wavelength[um] extinction_xsection[m^2/kg] ssa g
8.696000e+00 4.137183e+02 2.189134e-04 9.507769e-04
8.850000e+00 3.401119e+02 2.315357e-04 9.876784e-04
8.929000e+00 3.095523e+02 2.320504e-04 9.933170e-04
9.009000e+00 2.862452e+02 2.269099e-04 9.866643e-04
9.091000e+00 2.714572e+02 2.159217e-04 9.684560e-04
9.174000e+00 2.680915e+02 1.991781e-04 9.396584e-04
9.259000e+00 2.833685e+02 1.807214e-04 9.018279e-04
9.346000e+00 3.055118e+02 1.768251e-04 8.748076e-04
9.434000e+00 3.185238e+02 1.849017e-04 8.631922e-04
9.524000e+00 3.119226e+02 2.049170e-04 8.741397e-04
9.615000e+00 2.809428e+02 2.334259e-04 9.092691e-04
9.709000e+00 2.322954e+02 2.688985e-04 9.564021e-04
9.804000e+00 1.908979e+02 2.948040e-04 9.738077e-04
9.901000e+00 1.603229e+02 3.144791e-04 9.682812e-04
1.010100e+01 1.250637e+02 3.149512e-04 9.114712e-04
1.020400e+01 1.172891e+02 3.021187e-04 8.804087e-04
1.030900e+01 1.115889e+02 2.888792e-04 8.521820e-04
1.038400e+01 1.083783e+02 2.802581e-04 8.342338e-04
1.041700e+01 1.078207e+02 2.689567e-04 8.213080e-04
1.052600e+01 1.071969e+02 2.450762e-04 7.918009e-04
1.063800e+01 1.110886e+02 2.127760e-04 7.597741e-04
1.075300e+01 1.240060e+02 1.750358e-04 7.273094e-04
1.087000e+01 1.444293e+02 1.489753e-04 7.025048e-04
1.098900e+01 1.645111e+02 1.382015e-04 6.866959e-04
1.111100e+01 1.736322e+02 1.461557e-04 6.885533e-04
1.123600e+01 1.577672e+02 1.738655e-04 7.104701e-04
1.136400e+01 1.240558e+02 2.114365e-04 7.247117e-04
1.144200e+01 1.085939e+02 2.289937e-04 7.209508e-04
1.149400e+01 9.900722e+01 2.433909e-04 7.182238e-04
1.176500e+01 6.977962e+01 2.776903e-04 6.742456e-04
1.190500e+01 6.328149e+01 2.777215e-04 6.510143e-04
1.219500e+01 5.569304e+01 2.610578e-04 6.063493e-04
1.250000e+01 5.276112e+01 2.314287e-04 5.661535e-04
1.265800e+01 5.234280e+01 2.149603e-04 0.000000e+00
