# wavelength[um] extinction_xsection[m^2/kg] ssa g
7.634000e+00 3.083405e+02 7.208144e-02 1.205144e-01
7.752000e+00 3.425837e+02 7.728435e-02 1.167765e-01
7.874000e+00 3.771401e+02 8.171322e-02 1.126751e-01
8.000000e+00 4.271943e+02 8.930980e-02 1.084514e-01
8.065000e+00 4.517851e+02 9.350637e-02 1.064453e-01
8.130000e+00 4.855848e+02 9.996220e-02 1.044810e-01
8.264000e+00 5.322275e+02 1.113717e-01 1.014065e-01
8.403000e+00 5.623147e+02 1.222543e-01 9.903091e-02
8.547000e+00 5.730704e+02 1.337189e-01 9.790115e-02
8.621000e+00 5.647624e+02 1.390427e-01 9.814827e-02
8.696000e+00 5.495329e+02 1.453508e-01 9.908862e-02
8.850000e+00 4.836553e+02 1.520354e-01 1.014669e-01
8.929000e+00 4.474149e+02 1.525488e-01 1.016888e-01
9.009000e+00 4.145050e+02 1.502617e-01 1.008032e-01
9.091000e+00 3.886324e+02 1.448852e-01 9.882990e-02
9.174000e+00 3.746071e+02 1.361623e-01 9.588280e-02
9.259000e+00 3.833540e+02 1.260686e-01 9.215860e-02
9.346000e+00 4.098996e+02 1.241143e-01 8.940712e-02
9.434000e+00 4.348932e+02 1.290065e-01 8.794755e-02
9.524000e+00 4.461198e+02 1.402518e-01 8.843624e-02
9.615000e+00 4.286529e+02 1.552220e-01 9.132701e-02
9.709000e+00 3.790513e+02 1.729733e-01 9.591399e-02
9.804000e+00 3.223263e+02 1.863486e-01 9.787631e-02
9.901000e+00 2.748876e+02 1.971612e-01 9.737095e-02
1.010100e+01 2.093542e+02 2.009095e-01 9.130262e-02
1.020400e+01 1.920841e+02 1.958674e-01 8.801952e-02
1.030900e+01 1.790701e+02 1.901975e-01 8.506543e-02
1.038400e+01 1.717428e+02 1.863464e-01 8.320062e-02
1.041700e+01 1.683441e+02 1.807530e-01 8.187515e-02
1.052600e+01 1.624199e+02 1.685162e-01 7.887431e-02
1.063800e+01 1.618454e+02 1.506960e-01 7.567843e-02
1.075300e+01 1.726797e+02 1.282295e-01 7.252240e-02
1.087000e+01 1.950755e+02 1.117352e-01 7.015353e-02
1.098900e+01 2.200291e+02 1.046797e-01 6.861785e-02
1.111100e+01 2.373101e+02 1.097287e-01 6.871578e-02
1.123600e+01 2.268122e+02 1.269648e-01 7.077201e-02
1.136400e+01 1.866571e+02 1.498415e-01 7.216232e-02
1.144200e+01 1.656892e+02 1.605361e-01 7.175066e-02
1.149400e+01 1.527577e+02 1.690852e-01 7.144763e-02
1.176500e+01 1.084338e+02 1.906249e-01 6.684240e-02
1.190500e+01 9.741922e+01 1.916744e-01 6.446603e-02
1.219500e+01 8.320696e+01 1.840912e-01 5.996083e-02
1.250000e+01 7.594634e+01 1.681198e-01 5.596229e-02
1.265800e+01 7.404660e+01 1.584717e-01 5.414007e-02
1.282100e+01 7.259973e+01 1.486822e-01 5.238115e-02
1.315800e+01 7.100822e+01 1.298516e-01 4.912321e-02
1.351400e+01 7.024629e+01 1.130329e-01 4.611478e-02
1.388900e+01 6.990434e+01 9.800238e-02 4.327570e-02
1.428600e+01 6.820224e+01 8.567605e-02 4.051407e-02
1.470600e+01 6.969749e+01 6.993995e-02 3.767862e-02
1.492500e+01 7.157059e+01 6.197079e-02 3.627621e-02
1.538500e+01 8.053858e+01 4.492025e-02 3.337270e-02
1.587300e+01 1.057316e+02 3.083280e-02 3.059678e-02
1.612900e+01 1.215948e+02 2.771299e-02 2.945976e-02
1.666700e+01 1.551749e+02 2.564776e-02 2.745331e-02
1.694900e+01 1.693713e+02 2.836195e-02 2.714343e-02
1.724100e+01 1.609838e+02 3.313888e-02 2.770985e-02
1.754400e+01 1.356919e+02 3.971443e-02 2.884923e-02
1.785700e+01 1.060325e+02 4.644456e-02 2.936748e-02
1.818200e+01 8.291390e+01 5.169842e-02 2.878105e-02
1.851900e+01 6.845028e+01 5.430300e-02 2.763043e-02
1.886800e+01 5.996682e+01 5.351682e-02 2.623873e-02
1.960800e+01 5.385137e+01 4.659039e-02 2.372782e-02
2.000000e+01 5.247794e+01 4.271560e-02 2.259583e-02
2.040800e+01 5.281772e+01 3.803038e-02 2.148925e-02
2.083300e+01 5.575868e+01 3.234207e-02 2.037030e-02
2.127700e+01 6.108378e+01 2.780671e-02 1.946774e-02
2.222200e+01 6.250363e+01 2.607933e-02 1.840618e-02
2.272700e+01 5.788141e+01 2.674045e-02 1.791916e-02
2.325600e+01 5.155544e+01 2.836079e-02 1.748041e-02
2.439000e+01 3.652979e+01 3.257426e-02 1.616527e-02
2.500000e+01 3.171734e+01 3.312464e-02 1.534238e-02
