    cm-1  microns   25%       38%       50%       75%       84.5%     95.6%
   1610.   6.211    1.25E-01  1.43E-01  1.48E-01  1.44E-01  1.20E-01  6.90E-02
   1620.   6.173    1.39E-01  1.54E-01  1.59E-01  1.52E-01  1.26E-01  6.80E-02
   1630.   6.135    1.56E-01  1.70E-01  1.72E-01  1.64E-01  1.33E-01  6.70E-02
   1640.   6.098    1.65E-01  1.74E-01  1.85E-01  1.75E-01  1.43E-01  6.50E-02
   1650.   6.061    1.59E-01  1.70E-01  1.87E-01  1.84E-01  1.53E-01  6.40E-02
   1660.   6.024    1.48E-01  1.65E-01  1.85E-01  1.91E-01  1.61E-01  6.20E-02
   1680.   5.952    1.30E-01  1.57E-01  1.81E-01  2.03E-01  1.69E-01  5.70E-02
   1700.   5.882    1.16E-01  1.51E-01  1.77E-01  2.15E-01  1.73E-01  5.40E-02
   1720.   5.814    1.05E-01  1.47E-01  1.76E-01  2.25E-01  1.73E-01  5.70E-02
   1740.   5.747    9.90E-02  1.43E-01  1.77E-01  2.20E-01  1.69E-01  5.80E-02
   1760.   5.682    9.40E-02  1.39E-01  1.81E-01  2.12E-01  1.62E-01  5.80E-02
   1770.   5.650    9.10E-02  1.36E-01  1.82E-01  2.09E-01  1.58E-01  5.70E-02
   1780.   5.618    8.80E-02  1.33E-01  1.73E-01  2.06E-01  1.54E-01  5.60E-02
   1800.   5.556    8.20E-02  1.26E-01  1.60E-01  1.94E-01  1.46E-01  5.50E-02
   1820.   5.495    7.60E-02  1.19E-01  1.51E-01  1.82E-01  1.40E-01  5.30E-02
   1840.   5.435    7.10E-02  1.14E-01  1.43E-01  1.71E-01  1.34E-01  5.20E-02
   1860.   5.376    6.80E-02  1.07E-01  1.36E-01  1.60E-01  1.27E-01  5.10E-02
   1880.   5.319    6.40E-02  1.03E-01  1.30E-01  1.51E-01  1.19E-01  5.10E-02
   1900.   5.263    6.10E-02  9.70E-02  1.23E-01  1.44E-01  1.13E-01  5.00E-02
   1930.   5.181    5.80E-02  9.00E-02  1.16E-01  1.35E-01  1.10E-01  5.20E-02
   1960.   5.102    5.50E-02  8.50E-02  1.08E-01  1.28E-01  1.08E-01  5.30E-02
   2020.   4.950    4.90E-02  7.60E-02  9.60E-02  1.18E-01  1.10E-01  5.80E-02
   2080.   4.808    4.60E-02  7.10E-02  8.90E-02  1.16E-01  1.16E-01  6.40E-02
   2120.   4.717    4.40E-02  6.80E-02  8.70E-02  1.17E-01  1.22E-01  6.90E-02
   2180.   4.587    4.30E-02  6.50E-02  8.60E-02  1.21E-01  1.31E-01  7.40E-02
   2240.   4.464    4.20E-02  6.30E-02  8.50E-02  1.19E-01  1.27E-01  7.50E-02
   2290.   4.367    4.00E-02  6.00E-02  8.10E-02  1.13E-01  1.22E-01  7.70E-02
   2330.   4.292    3.60E-02  5.70E-02  7.90E-02  1.09E-01  1.22E-01  9.20E-02
   2340.   4.274    3.60E-02  5.70E-02  7.90E-02  1.10E-01  1.22E-01  9.90E-02
   2370.   4.219    3.50E-02  5.80E-02  8.00E-02  1.17E-01  1.31E-01  1.16E-01
   2410.   4.149    3.40E-02  5.90E-02  8.00E-02  1.21E-01  1.42E-01  1.20E-01
   2450.   4.082    3.30E-02  5.80E-02  8.00E-02  1.24E-01  1.46E-01  1.18E-01
   2500.   4.000    3.20E-02  5.60E-02  8.00E-02  1.26E-01  1.49E-01  1.14E-01
   2530.   3.953    3.00E-02  5.60E-02  8.00E-02  1.27E-01  1.50E-01  1.13E-01
   2560.   3.906    3.00E-02  5.40E-02  7.80E-02  1.27E-01  1.52E-01  1.15E-01
   2590.   3.861    2.90E-02  5.30E-02  7.80E-02  1.27E-01  1.56E-01  1.18E-01
   2600.   3.846    2.80E-02  5.30E-02  7.70E-02  1.27E-01  1.57E-01  1.17E-01
   2620.   3.817    2.90E-02  5.20E-02  7.70E-02  1.28E-01  1.57E-01  1.16E-01
   2660.   3.759    2.90E-02  5.20E-02  7.60E-02  1.30E-01  1.56E-01  1.22E-01
   2710.   3.690    3.00E-02  5.40E-02  7.70E-02  1.36E-01  1.59E-01  1.37E-01
   2760.   3.623    3.10E-02  5.60E-02  8.10E-02  1.43E-01  1.68E-01  1.55E-01
   2810.   3.559    3.40E-02  5.90E-02  8.60E-02  1.53E-01  1.78E-01  1.73E-01
   2880.   3.472    4.00E-02  6.40E-02  9.20E-02  1.61E-01  1.89E-01  1.92E-01
   2930.   3.413    4.70E-02  7.00E-02  9.50E-02  1.59E-01  1.81E-01  1.97E-01
   2990.   3.344    5.80E-02  7.80E-02  9.90E-02  1.59E-01  1.71E-01  1.95E-01
   3050.   3.279    7.50E-02  9.00E-02  1.02E-01  1.50E-01  1.59E-01  1.82E-01
   3150.   3.175    1.18E-01  1.17E-01  1.13E-01  1.31E-01  1.31E-01  1.43E-01
   3250.   3.077    1.66E-01  1.49E-01  1.30E-01  1.09E-01  9.80E-02  9.20E-02
   3310.   3.021    1.93E-01  1.45E-01  1.41E-01  9.90E-02  7.90E-02  6.40E-02
   3350.   2.985    2.07E-01  1.75E-01  1.48E-01  9.30E-02  6.70E-02  4.80E-02
