#optical constants for S8 aerosols, 0.1 um radius
#k, w and g from Kerber++ (2015), interpolated to be on one wavelength grid
#wav[um] k[m^2/kg] w(ssa) g(HG)
3.4760945765e+00 3.6484904308e+01 9.9285832369e-01 0.0000000000e+00
3.8415722900e+00 2.5487223784e+01 9.9075724508e-01 0.0000000000e+00
3.8771741980e+00 2.4617022428e+01 9.9055257485e-01 0.0000000000e+00
4.2868588384e+00 1.4603285805e+01 9.8865631320e-01 0.0000000000e+00
4.3245312896e+00 1.8552472558e+01 9.8848194292e-01 0.0000000000e+00
4.8235054501e+00 7.0859717750e+01 9.8694299584e-01 0.0000000000e+00
4.8247078810e+00 7.0985768063e+01 9.8693987872e-01 0.0000000000e+00
5.2433729214e+00 3.6231884058e-02 9.8585455355e-01 0.0000000000e+00
5.3800523730e+00 3.6231884058e-02 9.8550023295e-01 0.0000000000e+00
6.0008149334e+00 3.6231884058e-02 9.8492312779e-01 0.0000000000e+00
6.1256849603e+00 3.6231884058e-02 9.8468220373e-01 0.0000000000e+00
6.6932024762e+00 3.8263033711e+00 9.8358723622e-01 0.0000000000e+00
6.8483469245e+00 4.8624098054e+00 9.8302062198e-01 0.0000000000e+00
7.4793878052e+00 1.0298647726e+00 9.8071595200e-01 0.0000000000e+00
7.6151802806e+00 2.0514676599e-01 9.5452251061e-01 0.0000000000e+00
7.6429926599e+00 3.6231884058e-02 9.4465832970e-01 0.0000000000e+00
7.7379530273e+00 3.6231884058e-02 9.1097885785e-01 0.0000000000e+00
7.7678831780e+00 3.6231884058e-02 9.3655621945e-01 0.0000000000e+00
7.7916461892e+00 3.6231884058e-02 8.5470452840e-01 0.0000000000e+00
7.8844164939e+00 3.6231884058e-02 8.3613820466e-01 0.0000000000e+00
7.8994825484e+00 3.6231884058e-02 8.8351539352e-01 0.0000000000e+00
8.2037902958e+00 3.6231884058e-02 9.7222681435e-01 0.0000000000e+00
8.2446110970e+00 3.6231884058e-02 9.2567366507e-01 0.0000000000e+00
8.2993549678e+00 3.6231884058e-02 9.4260208299e-01 0.0000000000e+00
8.3623646305e+00 3.6231884058e-02 9.9089431772e-01 0.0000000000e+00
8.5284725275e+00 3.6231884058e-02 9.9100729270e-01 0.0000000000e+00
9.2482055707e+00 3.6231884058e-02 9.9149680482e-01 0.0000000000e+00
9.5169082530e+00 3.6231884058e-02 9.8212440528e-01 0.0000000000e+00
9.7940193553e+00 3.6231884058e-02 9.7245871849e-01 0.0000000000e+00
1.0580987755e+01 3.6231884058e-02 9.4501594999e-01 0.0000000000e+00
1.0619573081e+01 3.6231884058e-02 9.0254671007e-01 0.0000000000e+00
1.0628360421e+01 3.6231884058e-02 8.9287485535e-01 0.0000000000e+00
1.0672413091e+01 3.6231884058e-02 9.1643998257e-01 0.0000000000e+00
1.0734393749e+01 3.6231884058e-02 8.4608658915e-01 0.0000000000e+00
1.0817866101e+01 3.6231884058e-02 7.5148409204e-01 0.0000000000e+00
1.0823562479e+01 3.6231884058e-02 8.7189067063e-01 0.0000000000e+00
1.0864828454e+01 3.6231884058e-02 7.7564556125e-01 0.0000000000e+00
1.0886420946e+01 3.6231884058e-02 9.6587865763e-01 0.0000000000e+00
1.0908056351e+01 3.6231884058e-02 9.8971699376e-01 0.0000000000e+00
1.0931543230e+01 3.6231884058e-02 8.2454400176e-01 0.0000000000e+00
1.0937396236e+01 3.6231884058e-02 7.2166133440e-01 0.0000000000e+00
1.0953128909e+01 3.6231884058e-02 4.9334791510e-01 0.0000000000e+00
1.0975784283e+01 3.6231884058e-02 6.8581291998e-01 0.0000000000e+00
1.0995028802e+01 3.6231884058e-02 5.8633583312e-01 0.0000000000e+00
1.1621642372e+01 3.6231884058e-02 4.1676310134e-01 0.0000000000e+00
1.1669812019e+01 3.6231884058e-02 4.4032822856e-01 0.0000000000e+00
1.1737585130e+01 3.6231884058e-02 2.7137267868e-01 0.0000000000e+00
1.1747299080e+01 3.6231884058e-02 4.7083999192e-01 0.0000000000e+00
1.1801845954e+01 3.6231884058e-02 3.9207582521e-01 0.0000000000e+00
1.1849950926e+01 3.6231884058e-02 3.0893623869e-01 0.0000000000e+00
1.1903820151e+01 3.6231884058e-02 1.9265393228e-01 0.0000000000e+00
1.1931121274e+01 3.6231884058e-02 8.6903111767e-02 0.0000000000e+00
1.1967010968e+01 3.6231884058e-02 2.4331735273e-01 0.0000000000e+00
1.2022578041e+01 3.6231884058e-02 1.3474036112e-01 0.0000000000e+00
1.2127462685e+01 3.6231884058e-02 7.3975202513e-01 0.0000000000e+00
1.2182766930e+01 3.6231884058e-02 7.1759519480e-01 0.0000000000e+00
1.2263659990e+01 3.6231884058e-02 6.5385713642e-01 0.0000000000e+00
1.2311095428e+01 3.6231884058e-02 6.8432615125e-01 0.0000000000e+00
1.2339984986e+01 3.6231884058e-02 4.9188295586e-01 0.0000000000e+00
1.2361440982e+01 3.6231884058e-02 7.8770705902e-01 0.0000000000e+00
1.2474145699e+01 3.6231884058e-02 8.1896417354e-01 0.0000000000e+00
1.2634377405e+01 3.6231884058e-02 1.9351959001e-01 0.0000000000e+00
1.2906017053e+01 3.6231884058e-02 4.3081973408e-01 0.0000000000e+00
1.2994783515e+01 3.6231884058e-02 4.6234639334e-01 0.0000000000e+00
1.3222930863e+01 3.6231884058e-02 8.3497275941e-01 0.0000000000e+00
1.3256514865e+01 3.6231884058e-02 8.8982452273e-01 0.0000000000e+00
1.3277309731e+01 3.6231884058e-02 9.1826748223e-01 0.0000000000e+00
1.3321317189e+01 3.6231884058e-02 9.3946327217e-01 0.0000000000e+00
1.3330136168e+01 3.6231884058e-02 8.3426020830e-01 0.0000000000e+00
1.3543552103e+01 3.6231884058e-02 7.2445633388e-01 0.0000000000e+00
1.3588442018e+01 3.6231884058e-02 9.9688987904e-01 0.0000000000e+00
1.3600279862e+01 3.6231884058e-02 8.0260852163e-01 0.0000000000e+00
1.3651537971e+01 3.6231884058e-02 2.3732187138e-01 0.0000000000e+00
1.3678668701e+01 3.6231884058e-02 6.6980768171e-01 0.0000000000e+00
1.3832286805e+01 3.6231884058e-02 6.1434947925e-01 0.0000000000e+00
1.3842589139e+01 3.6231884058e-02 6.3945114895e-01 0.0000000000e+00
1.3906865187e+01 3.6231884058e-02 4.7389651182e-01 0.0000000000e+00
1.4092160327e+01 3.6231884058e-02 4.2459249463e-01 0.0000000000e+00
1.4162280754e+01 3.6231884058e-02 3.7497106960e-01 0.0000000000e+00
1.4232750089e+01 3.6231884058e-02 4.5273598942e-01 0.0000000000e+00
1.4518151365e+01 3.6231884058e-02 3.4987233886e-01 0.0000000000e+00
1.4662991006e+01 3.6231884058e-02 2.7777694285e-01 0.0000000000e+00
1.4683800007e+01 3.6231884058e-02 2.2767871903e-01 0.0000000000e+00
1.4754989426e+01 3.6231884058e-02 2.3757360527e-01 0.0000000000e+00
1.4870657454e+01 3.6231884058e-02 2.5365074117e-01 0.0000000000e+00
1.5156307064e+01 3.6231884058e-02 1.6230781947e-01 0.0000000000e+00
1.5193968002e+01 3.6231884058e-02 1.7738469168e-01 0.0000000000e+00
1.5326519765e+01 3.6231884058e-02 1.2889182785e-01 0.0000000000e+00
1.5387317548e+01 3.6231884058e-02 2.0455329098e-01 0.0000000000e+00
1.6033332596e+01 3.6231884058e-02 2.6334931394e-01 0.0000000000e+00
1.6436219107e+01 3.6231884058e-02 2.3541742437e-01 0.0000000000e+00
1.6464558064e+01 3.6231884058e-02 2.3373639769e-01 0.0000000000e+00
1.6849229374e+01 3.6231884058e-02 2.1091824177e-01 0.0000000000e+00
1.6996221592e+01 3.6231884058e-02 1.6468837824e-01 0.0000000000e+00
1.7017324902e+01 3.6231884058e-02 1.8332406559e-01 0.0000000000e+00
1.7177064088e+01 3.6231884058e-02 1.2356539243e-01 0.0000000000e+00
1.8161592105e+01 3.6231884058e-02 1.4908249297e-01 0.0000000000e+00
