#optical constants for H2SO4 aerosols, 1 um radius
#k and w from Kerber ++ (2015), g for VIS from Kerber++ (2015) and rest from PSG (hri_volcanic_afcrl_h2so4_215k), interpolated to be on one wavelength grid
#wav[um] k[m^2/kg] w(ssa) g(HG)
5.8175820813e+00 6.7463192142e-01 2.9414567472e-01 4.6126149270e-01
6.0000000000e+00 7.0746655437e-01 3.1809983258e-01 4.5031660000e-01
6.0778353927e+00 7.2147667228e-01 3.2832076535e-01 4.4748047288e-01
6.1299637095e+00 7.3085960001e-01 2.9946263238e-01 4.4558104734e-01
6.1308304409e+00 7.3101560885e-01 3.0606599646e-01 4.4554946581e-01
6.1372495855e+00 7.2111941412e-01 3.5497151536e-01 4.4531556823e-01
6.1901731380e+00 6.3952882633e-01 3.6018863384e-01 4.4338716628e-01
6.2000000000e+00 6.3089442218e-01 3.6115735005e-01 4.4302910000e-01
6.2762951631e+00 5.6385742979e-01 3.6867840421e-01 4.3826762060e-01
6.3230668990e+00 5.4154139897e-01 3.7328908652e-01 4.3534865892e-01
6.4264617779e+00 4.9220897074e-01 3.6209567613e-01 4.2889592239e-01
6.5000000000e+00 4.8205346166e-01 3.5413451299e-01 4.2430650000e-01
6.7349875635e+00 4.4960206064e-01 3.2869503027e-01 3.9875657078e-01
6.7528488134e+00 4.4713545103e-01 3.1191654353e-01 3.9681453749e-01
6.7975533686e+00 4.5180931814e-01 2.6992201399e-01 3.9195386229e-01
6.8501076563e+00 4.5730387581e-01 2.9357823211e-01 3.8623969465e-01
6.8880419703e+00 4.6126991331e-01 2.4597099847e-01 3.8211514005e-01
7.0791109292e+00 4.8124619802e-01 2.1958277769e-01 3.6134043051e-01
7.1498501882e+00 4.8864199682e-01 1.5517297730e-01 3.5364903172e-01
7.1684149438e+00 4.9058294445e-01 1.8858554385e-01 3.5163050706e-01
7.2000000000e+00 4.9388516622e-01 1.3969332911e-01 3.4819630000e-01
7.2100993727e+00 4.9494105696e-01 1.2405996453e-01 3.4710831766e-01
7.4254759746e+00 5.1745870893e-01 1.1883207205e-01 3.2390628863e-01
7.4577336440e+00 6.1112767797e-01 1.1804907322e-01 3.2043124364e-01
7.5039184539e+00 6.9932047701e-01 1.1692801728e-01 3.1545585963e-01
7.6318733886e+00 7.9999757142e-01 1.1382213375e-01 3.0167156699e-01
7.6758681168e+00 9.1711513976e-01 1.1275423823e-01 2.9693211548e-01
7.7006715009e+00 9.8314377891e-01 1.1404325068e-01 2.9426010360e-01
7.7918709910e+00 8.8666904617e-01 1.1878281679e-01 2.8443539099e-01
7.9000000000e+00 1.0249346864e+00 1.2440219674e-01 2.7278690000e-01
7.9434421278e+00 1.0804845677e+00 1.2665985011e-01 2.6822772109e-01
7.9543807873e+00 1.3055805110e+00 1.2722832369e-01 2.6707972701e-01
8.1020683389e+00 1.1952026185e+00 1.3490353013e-01 2.5158016461e-01
8.1837676695e+00 1.2112443097e+00 1.3914938039e-01 2.4300595603e-01
8.2000000000e+00 1.2144315333e+00 1.4141840742e-01 2.4130240000e-01
8.3922271842e+00 1.2521754059e+00 1.6828877436e-01 2.3430930319e-01
8.5000000000e+00 1.2733366347e+00 1.7676934153e-01 2.3038860000e-01
8.6628372806e+00 1.3053097898e+00 1.8958289274e-01 2.3999038167e-01
8.7000000000e+00 1.2727084768e+00 1.9250720102e-01 2.4218170000e-01
8.7143406310e+00 1.2601280357e+00 1.9363565520e-01 2.4305518305e-01
8.7466882586e+00 1.2317508031e+00 1.9639460676e-01 2.4502546627e-01
8.8811153167e+00 1.1516314415e+00 2.0785998363e-01 2.5321337357e-01
9.0000000000e+00 1.0428200187e+00 2.1799974059e-01 2.6045460000e-01
9.0267861607e+00 1.0183034857e+00 2.2028435078e-01 2.5975813304e-01
9.0320975364e+00 1.0134421501e+00 2.2004857564e-01 2.5962003196e-01
9.0393508466e+00 1.0866056759e+00 2.1972659686e-01 2.5943143864e-01
9.2000000000e+00 1.0921250877e+00 2.1259528489e-01 2.5525440000e-01
