#optical constants for S8 aerosols, 1 um radius
#k and w from Kerber ++ (2015), g for VIS from Kerber++ (2015) and rest from PSG (hri_volcanic_afcrl_h2so4_215k), interpolated to be on one wavelength grid
#wav[um] k[m^2/kg] w(ssa) g(HG)
7.5129120024e+00 7.5274173399e-01 9.8858925781e-01 3.1448700521e-01
7.7571566861e+00 6.7752852484e-01 9.9181626104e-01 2.8817508371e-01
8.1685415211e+00 6.1156773427e-01 9.9725154902e-01 2.4460391493e-01
8.3985077567e+00 5.5076626980e-01 1.0002899029e+00 2.3419738663e-01
8.4116448421e+00 5.4729291629e-01 1.0003247205e+00 2.3360290174e-01
8.8660778306e+00 4.8108731326e-01 1.0015291174e+00 2.5229744530e-01
9.3370041342e+00 4.0521508248e-01 1.0027772270e+00 2.4364170124e-01
9.4112942768e+00 3.9917896986e-01 1.0029741203e+00 2.4810606064e-01
1.0120591884e+01 3.4154817144e-01 1.0048620542e+00 2.9073028139e-01
1.0546213986e+01 2.9543979035e-01 1.0059949304e+00 2.6166088441e-01
1.0801552196e+01 2.6777855887e-01 9.8999553202e-01 2.4422164018e-01
1.1019901741e+01 2.5194503334e-01 9.7631382979e-01 2.4749574986e-01
1.1641569920e+01 2.0686502660e-01 9.5559236495e-01 2.5681754530e-01
1.1771258679e+01 2.0001754734e-01 9.5126957484e-01 2.5146502060e-01
1.2796360373e+01 1.4589286725e-01 9.8544056451e-01 2.0915694250e-01
1.3243141837e+01 1.3183766025e-01 1.0003336867e+00 1.9604436998e-01
1.4143096085e+01 1.0352618299e-01 9.9965423253e-01 1.6963164629e-01
1.4840148820e+01 9.1190570293e-02 9.9912796645e-01 1.5727681058e-01
1.6629740866e+01 5.9520492435e-02 1.0002301555e+00 1.2555738018e-01
1.6960196741e+01 5.3672476234e-02 1.0004453487e+00 1.1970025081e-01
1.8635142048e+01 4.7564353239e-02 1.0015360747e+00 1.0705427646e-01
1.9271638846e+01 4.5243202386e-02 9.3907359340e-01 1.0224867346e-01
1.9485801209e+01 4.4462203720e-02 9.0085569891e-01 1.0063173007e-01
1.9666790265e+01 4.3802180129e-02 8.6817120158e-01 9.9265247864e-02
1.9956217232e+01 4.2746709538e-02 8.4565982555e-01 9.7080050537e-02
2.0193489612e+01 4.1881434191e-02 8.2022597859e-01 9.5288624619e-02
2.0374016348e+01 4.1223096572e-02 7.9497454520e-01 9.3925632967e-02
2.1318343307e+01 3.7779363103e-02 7.3510018502e-01 8.6795887026e-02
2.1444135787e+01 3.6696861582e-02 7.2712440485e-01 8.6392194042e-02
2.2067561506e+01 3.1331999623e-02 7.6735764457e-01 8.4391497421e-02
2.2161741245e+01 3.0521540120e-02 7.9856629408e-01 8.4089255984e-02
2.2489805510e+01 2.7698397851e-02 8.2379788749e-01 8.3036432773e-02
2.2755873051e+01 2.5408765606e-02 8.4772329877e-01 8.2182569332e-02
2.2869719186e+01 2.4429067823e-02 8.7986446501e-01 8.1817214536e-02
2.3948094527e+01 1.5149157373e-02 9.0450771053e-01 7.8356494463e-02
2.4055498722e+01 1.5066699263e-02 9.0696213232e-01 7.8173804965e-02
2.4138638231e+01 1.5002870034e-02 8.6890599427e-01 7.8032388557e-02
2.4326754239e+01 1.4858446527e-02 8.4236160836e-01 7.7712412050e-02
2.4347746305e+01 1.4842330154e-02 8.1655201514e-01 7.7676705532e-02
2.4739383420e+01 1.4541656084e-02 7.9120166735e-01 7.7010549166e-02
2.5895000555e+01 1.3654446741e-02 7.6360757760e-01 7.5044898617e-02
2.6495345493e+01 1.3193540078e-02 7.3399805646e-01 7.4023740034e-02
2.6836025100e+01 1.2931987942e-02 7.2309379337e-01 7.3444260000e-02
2.7330979348e+01 1.2169009123e-02 7.0725160256e-01 7.3444260000e-02
2.7902659455e+01 1.1287756330e-02 6.7754902115e-01 7.3444260000e-02
2.8513114501e+01 1.0346731432e-02 6.4616361033e-01 7.3444260000e-02
2.9207837854e+01 9.2758057735e-03 6.1659655449e-01 7.3444260000e-02
2.9870260770e+01 8.2546716861e-03 5.8545971427e-01 7.3444260000e-02
3.0072214821e+01 7.9433567225e-03 5.8011908434e-01 7.3444260000e-02
3.1003800348e+01 1.0524181021e-02 5.5548351250e-01 7.3444260000e-02
3.1303456261e+01 1.1354334817e-02 5.2673753182e-01 7.3444260000e-02
3.1756719122e+01 1.2610034667e-02 5.0270368760e-01 7.3444260000e-02
3.2656728390e+01 1.5103381461e-02 4.7619604133e-01 7.3444260000e-02
3.2826174615e+01 1.5572807962e-02 4.4941284779e-01 7.3444260000e-02
3.3512797322e+01 1.7474997846e-02 4.2240921645e-01 7.3444260000e-02
3.3698660695e+01 1.7989905706e-02 4.1252569387e-01 7.3444260000e-02
3.4005871546e+01 1.8152280541e-02 3.9618936398e-01 7.3444260000e-02
3.4579513864e+01 1.8455476462e-02 3.6710938662e-01 7.3444260000e-02
3.5071044856e+01 1.8715272832e-02 3.3504570562e-01 7.3444260000e-02
3.5685607985e+01 1.9040097253e-02 3.0390693850e-01 7.3444260000e-02
3.6411327748e+01 1.9423672985e-02 2.6655968699e-01 7.3444260000e-02
3.7670940795e+01 2.0089435474e-02 2.3184073241e-01 7.3444260000e-02
3.7714289751e+01 2.0112347359e-02 2.0183669758e-01 7.3444260000e-02
3.7762424197e+01 2.0137788592e-02 1.9974244666e-01 7.3444260000e-02
3.8458901123e+01 2.0137788592e-02 1.6943987631e-01 7.3444260000e-02
3.8758617076e+01 2.0137788592e-02 1.3493994647e-01 7.3444260000e-02
3.9597263042e+01 2.0137788592e-02 1.0258401838e-01 7.3444260000e-02
4.2046007955e+01 2.0137788592e-02 8.1434321100e-02 7.3444260000e-02
4.2316242007e+01 2.0137788592e-02 8.1711973608e-02 7.3444260000e-02
4.4686599232e+01 2.0137788592e-02 8.4147401800e-02 7.3444260000e-02
4.5673803231e+01 2.0137788592e-02 1.1484948968e-01 7.3444260000e-02
4.7419210383e+01 2.0137788592e-02 1.3182193212e-01 7.3444260000e-02
4.8764702009e+01 1.9375256726e-02 1.4490557232e-01 7.3444260000e-02
5.1922756309e+01 1.7585489333e-02 1.4063458981e-01 7.3444260000e-02
5.2462978242e+01 1.7279328797e-02 1.6750044752e-01 7.3444260000e-02
5.2499192239e+01 1.7258805200e-02 2.0244902482e-01 7.3444260000e-02
5.2760010065e+01 1.7110991643e-02 2.4045784667e-01 7.3444260000e-02
5.3275231331e+01 1.6818999760e-02 2.6546524661e-01 7.3444260000e-02
5.3560342541e+01 1.6209478537e-02 2.7930374770e-01 7.3444260000e-02
5.3968435394e+01 1.5337042639e-02 3.2515940398e-01 7.3444260000e-02
5.4617810159e+01 1.3948785403e-02 3.6030698763e-01 7.3444260000e-02
5.7426924879e+01 7.9433567225e-03 3.6030698763e-01 7.3444260000e-02
