#optical constants for H2SO4 aerosols, 0.1 um radius
#k and w from Kerber ++ (2015), g from PSG (hri_volcanic_afcrl_h2so4_215k), interpolated to be on one wavelength grid
#wav[um] k[m^2/kg] w(ssa) g(HG)
3.4943341048e+00 2.3483321233e+02 9.4831799284e-03 2.5877515340e-02
3.5530821084e+00 2.4404435401e+02 9.7222523991e-03 2.5211476137e-02
3.8532121614e+00 2.9110196063e+02 9.8243639379e-03 2.1953642054e-02
3.9343174490e+00 2.5740387945e+02 9.8519579280e-03 2.1123088223e-02
4.1893119193e+00 1.5145734229e+02 8.6477288635e-03 1.8819797707e-02
4.3634969506e+00 1.4287310118e+02 7.8251279772e-03 1.7319423587e-02
4.6095428721e+00 1.3074738923e+02 8.1910971563e-03 1.5459070302e-02
4.8673047562e+00 8.4048643796e+01 8.5744926810e-03 1.3848254425e-02
5.0796574346e+00 4.5576688553e+01 6.5450239027e-03 1.2626505957e-02
5.5052641679e+00 6.4087045267e+01 2.4774718311e-03 1.0542838355e-02
5.6125634206e+00 6.8753671259e+01 3.0280158058e-03 1.0288629472e-02
6.0655323778e+00 7.9287493517e+01 5.3521636792e-03 9.1857763488e-03
6.2150790414e+00 8.2765210804e+01 5.4732453148e-03 8.7551847579e-03
6.6869788506e+00 8.5373155373e+01 5.8553227174e-03 7.2602428175e-03
6.8822754587e+00 8.6452458053e+01 4.6480161803e-03 6.7068640194e-03
7.4610785694e+00 1.8794138169e+02 1.0699060129e-03 5.3064468385e-03
7.5885590394e+00 2.1029415664e+02 1.5902643113e-03 5.0622388762e-03
8.1801454449e+00 4.3352135030e+02 4.0050412222e-03 4.0420965796e-03
8.2740288219e+00 4.2593359422e+02 4.3882606620e-03 4.0195359362e-03
8.9851616964e+00 3.6845906606e+02 6.8561294304e-03 4.5655982147e-03
9.1755945389e+00 2.3618995663e+02 7.5169950455e-03 4.2978793005e-03
9.4789744123e+00 2.5471127132e+01 7.8025032683e-03 4.0445609928e-03
1.0199833955e+01 3.6173726340e+01 8.4808980626e-03 4.2371830192e-03
1.0506118069e+01 4.0721125552e+01 8.0536358251e-03 3.6929835209e-03
1.1321254893e+01 2.2374041942e+01 6.9165308709e-03 3.3227533882e-03
1.1492057151e+01 1.8529628059e+01 7.2464139719e-03 3.3664155696e-03
1.2515765200e+01 4.1430991663e+00 9.2235774365e-03 2.5519138377e-03
1.2807676944e+01 4.0760869565e-02 8.2915776288e-03 2.4263894526e-03
1.3881757751e+01 3.9783326434e+00 4.8623113262e-03 2.0117609939e-03
1.4182596895e+01 5.0812065744e+00 4.0151322600e-03 1.9043620316e-03
1.5396805768e+01 2.7841569884e+01 5.9585534871e-04 1.5587841897e-03
1.5842199481e+01 3.6190481634e+01 5.2040084445e-04 1.4682432832e-03
1.7075744786e+01 5.2498281689e+01 3.1142495021e-04 1.4074637997e-03
1.7253441628e+01 5.4847481636e+01 3.2047365666e-04 1.4234371647e-03
1.8173969192e+01 4.0760869565e-02 3.6734890568e-04 1.4435981929e-03
1.8937608829e+01 4.0760869565e-02 4.0623508304e-04 1.2374896503e-03
1.9801121042e+01 4.0760869565e-02 3.6658794915e-04 1.0816435418e-03
2.1002567872e+01 4.0760869565e-02 3.1142495021e-04 9.1790347046e-04
2.1926795861e+01 4.0760869565e-02 3.1142495021e-04 8.6037409205e-04
2.3292642851e+01 4.0760869565e-02 3.1142495021e-04 7.9848854700e-04
2.4280664500e+01 4.0760869565e-02 3.1142495021e-04 7.4369239210e-04
2.5832422698e+01 4.0760869565e-02 3.1142495021e-04 7.0379770000e-04
2.6887223847e+01 4.0760869565e-02 3.1142495021e-04 7.0379770000e-04
2.8649134694e+01 4.0760869565e-02 3.1142495021e-04 7.0379770000e-04
2.9773600562e+01 4.0760869565e-02 3.1142495021e-04 7.0379770000e-04
3.1772974929e+01 4.0760869565e-02 3.1142495021e-04 7.0379770000e-04
3.2969833384e+01 4.0760869565e-02 3.1142495021e-04 7.0379770000e-04
3.5237432007e+01 6.0357632670e+00 3.1142495021e-04 7.0379770000e-04
3.6509185751e+01 9.3979838412e+00 3.1142495021e-04 7.0379770000e-04
3.9079646058e+01 5.1512738365e+00 3.1142495021e-04 7.0379770000e-04
4.0428491969e+01 2.9228179410e+00 3.1142495021e-04 7.0379770000e-04
4.3340806893e+01 9.8886313479e-01 3.1142495021e-04 7.0379770000e-04
4.4768540555e+01 4.0760869565e-02 3.1142495021e-04 7.0379770000e-04
4.8066595572e+01 4.0760869565e-02 3.1142495021e-04 7.0379770000e-04
4.9574498720e+01 4.0760869565e-02 3.1142495021e-04 7.0379770000e-04
